job_id,job_title,company,location,industry,seniority_level,remote_type,salary_min_usd,salary_max_usd,avg_salary_usd,skills,posting_date,num_applicants
100001,Senior Data Analyst,Northwind Analytics,"Dallas, TX",Technology,Senior,Remote,89500,133500,111500,Communication; Excel; Power BI; Python; SQL; Snowflake; VBA,2025-10-28,263
100002,Data Analyst Intern,Northwind Analytics,"Miami, FL",Technology,Entry,Hybrid,47000,63500,55250,Communication; Excel; Machine Learning; R; SQL; VBA,2025-10-19,395
100003,Marketing Data Analyst,Cascade Health Systems,"Austin, TX",Media & Entertainment,Mid,Remote,70000,98000,84000,Azure; Business Intelligence; Excel,2026-04-09,155
100004,Data Analyst Intern,Coral Reef Travel,"Charlotte, NC",Energy,Entry,Remote,40000,61000,50500,A/B Testing; ETL; Machine Learning; Power BI; SQL,2025-09-22,194
100005,Marketing Data Analyst,Redwood Insurance,"Dallas, TX",Nonprofit,Mid,Onsite,63500,91500,77500,A/B Testing; Business Intelligence; R; SQL,2026-05-24,357
100006,Lead Data Analyst,Harborline Bank,"Los Angeles, CA",Real Estate,Senior,Onsite,95500,160000,127750,Excel; Machine Learning; Python; SQL; Statistics,2026-05-26,239
100007,Junior Data Analyst,Pinnacle Consulting,"Seattle, WA",Technology,Entry,Onsite,57000,82500,69750,A/B Testing; Data Visualization; ETL; Machine Learning; SQL; Tableau,2025-08-26,83
100008,Junior Data Analyst,Granite Construction,"Minneapolis, MN",Energy,Entry,Remote,44000,67500,55750,Azure; Data Modeling; ETL; Excel; Machine Learning; Power BI; SQL,2025-11-28,227
100009,Junior Data Analyst,Ironclad Manufacturing,"New York, NY",Nonprofit,Entry,Onsite,54500,79500,67000,AWS; Excel; Power BI; SQL,2025-09-21,281
100010,Lead Data Analyst,Vantage Pharma,"New York, NY",Energy,Senior,Hybrid,99500,169500,134500,Data Modeling; Excel; Python; SQL; Snowflake,2025-08-05,394
100011,Lead Data Analyst,Willow Hospitality,"Seattle, WA",Healthcare,Senior,Hybrid,112500,152000,132250,AWS; Azure; Communication; Excel; SQL; Snowflake; Statistics,2026-03-22,236
100012,Senior Data Analyst,Harborline Bank,"Atlanta, GA",Retail,Senior,Hybrid,85000,121500,103250,A/B Testing; Excel; Python; SQL,2025-08-04,21
100013,Marketing Data Analyst,Vertex Financial Group,"Columbus, OH",Technology,Mid,Remote,56000,81500,68750,A/B Testing; Communication; Data Modeling; Excel; Looker; Power BI; SQL,2026-02-06,186
100014,Financial Data Analyst,Brightpath Education,"Washington, DC",Real Estate,Mid,Onsite,72000,108500,90250,ETL; Excel; Google Analytics,2025-08-25,132
100015,Business Data Analyst,Redwood Insurance,"Miami, FL",Education,Mid,Remote,59500,88500,74000,Azure; Power BI; SQL,2025-07-08,52
100016,Business Data Analyst,Summit Media Co,"Minneapolis, MN",Education,Mid,Hybrid,63500,92500,78000,Data Modeling; ETL; Machine Learning; SQL,2026-02-18,151
100017,Financial Data Analyst,Lighthouse Nonprofit,"Miami, FL",Hospitality,Mid,Hybrid,59000,86500,72750,Azure; Excel; SQL,2025-07-30,30
100018,Data Analyst Intern,Skyline Real Estate,"Columbus, OH",Pharmaceuticals,Entry,Onsite,39500,62500,51000,Excel; Python; SQL,2025-08-31,296
100019,Business Data Analyst,TidalWave Gaming,"Portland, OR",Financial Services,Mid,Hybrid,64500,95000,79750,A/B Testing; Data Modeling; Excel; Machine Learning; SQL; Statistics; Tableau,2026-02-20,166
100020,Senior Data Analyst,Northwind Analytics,"Washington, DC",Energy,Senior,Onsite,103500,137000,120250,Data Visualization; Machine Learning; Snowflake; Tableau,2026-01-06,150
100021,Junior Data Analyst,Ironclad Manufacturing,"Miami, FL",Nonprofit,Entry,Remote,48500,67500,58000,AWS; Azure; Excel; Looker; Power BI; SQL; Tableau,2025-08-24,385
100022,Lead Data Analyst,Orbit Logistics,"Dallas, TX",Insurance,Senior,Hybrid,89000,124500,106750,Excel; Looker; Machine Learning; Python; SQL,2025-11-19,27
100023,Data Analyst,Quantum Robotics,"Seattle, WA",Hospitality,Mid,Onsite,73000,109500,91250,Azure; Excel; Power BI; Python; SQL; Tableau,2026-01-06,303
100024,Lead Data Analyst,Orbit Logistics,"Minneapolis, MN",Healthcare,Senior,Remote,82500,134500,108500,Excel; SQL; Statistics,2026-04-13,213
100025,Data Analyst Intern,Falcon Security,"Seattle, WA",Pharmaceuticals,Entry,Onsite,59000,85500,72250,Communication; Google Analytics; R; SQL,2026-01-27,347
100026,Business Data Analyst,Pinnacle Consulting,"Boston, MA",Telecommunications,Mid,Hybrid,72000,98500,85250,A/B Testing; AWS; Business Intelligence; Data Visualization; Excel; Statistics,2025-07-13,342
100027,Business Data Analyst,Meridian Energy,"Los Angeles, CA",Insurance,Mid,Onsite,78000,102500,90250,Azure; Business Intelligence; ETL; Excel; Google Analytics; Power BI; SQL,2025-11-13,24
100028,Senior Data Analyst,Crestline Airlines,"Minneapolis, MN",Manufacturing,Senior,Onsite,82000,128500,105250,Azure; Data Visualization; ETL; Excel; Machine Learning; SQL; Statistics,2026-04-02,356
100029,Business Data Analyst,Stellar Telecom,"Minneapolis, MN",Retail,Mid,Onsite,64000,89000,76500,Excel; SQL; Snowflake,2026-06-22,156
100030,Lead Data Analyst,Orbit Logistics,"Denver, CO",Media & Entertainment,Senior,Hybrid,87000,138000,112500,AWS; Excel; SQL; VBA,2025-11-24,112
100031,Financial Data Analyst,Granite Construction,"Philadelphia, PA",Energy,Mid,Hybrid,63500,91000,77250,Looker; Python; R; SQL,2026-05-14,176
100032,Senior Data Analyst,Sapphire Cloud Services,"Atlanta, GA",Hospitality,Senior,Remote,87500,120000,103750,Looker; Python; SQL,2026-04-21,104
100033,Financial Data Analyst,Skyline Real Estate,"Phoenix, AZ",Technology,Mid,Remote,60000,89500,74750,A/B Testing; Communication; R,2026-02-23,30
100034,Lead Data Analyst,Harborline Bank,"Chicago, IL",Education,Senior,Remote,92500,140500,116500,Business Intelligence; Communication; Excel; Google Analytics; Looker; SQL; Snowflake,2026-03-01,235
100035,Data Analytics Manager,Willow Hospitality,"Atlanta, GA",Real Estate,Senior,Hybrid,87000,126500,106750,Business Intelligence; Excel; Python; SQL,2026-04-03,46
100036,Junior Data Analyst,Orbit Logistics,"Atlanta, GA",Media & Entertainment,Entry,Hybrid,46000,59000,52500,Azure; Business Intelligence; Communication; Excel; Google Analytics; Power BI,2026-01-16,399
100037,Data Analyst Intern,Lighthouse Nonprofit,"New York, NY",Real Estate,Entry,Onsite,57000,79500,68250,A/B Testing; Communication; ETL; Excel; SQL,2025-07-15,204
100038,Marketing Data Analyst,Copperfield Auto,"Phoenix, AZ",Nonprofit,Mid,Remote,58500,80000,69250,Azure; ETL; Excel; Google Analytics; Python; SQL; VBA,2026-02-22,98
100039,Data Analyst,Pinnacle Consulting,"Phoenix, AZ",Manufacturing,Mid,Remote,57500,88000,72750,Communication; Data Modeling; Looker; Machine Learning; Python; SQL,2025-07-27,184
100040,Business Data Analyst,Amber Fashion Group,"Austin, TX",Telecommunications,Mid,Onsite,63000,90000,76500,Excel; SQL; Statistics; Tableau,2026-06-08,63
100041,Data Analyst Intern,Redwood Insurance,"Washington, DC",Nonprofit,Entry,Remote,51000,74000,62500,AWS; Power BI; SQL,2026-04-21,351
100042,Financial Data Analyst,Meridian Energy,"Denver, CO",Retail,Mid,Hybrid,66500,88500,77500,Communication; Data Visualization; Excel; Power BI; SQL,2025-08-05,264
100043,Marketing Data Analyst,Northwind Analytics,"Minneapolis, MN",Real Estate,Mid,Hybrid,60000,85500,72750,Communication; Excel; Machine Learning; R; Snowflake; Tableau,2026-03-05,243
100044,Financial Data Analyst,Sapphire Cloud Services,"Philadelphia, PA",Insurance,Mid,Hybrid,61500,98000,79750,A/B Testing; Data Modeling; ETL; Google Analytics; SQL,2025-10-02,254
100045,Business Data Analyst,Stellar Telecom,"Dallas, TX",Manufacturing,Mid,Remote,63500,95000,79250,A/B Testing; Data Visualization; Excel; Python; SQL; Snowflake; Statistics,2025-11-01,358
100046,Entry Level Data Analyst,Amber Fashion Group,"Raleigh, NC",Education,Entry,Onsite,41500,59000,50250,Data Visualization; Excel; SQL; VBA,2026-04-08,174
100047,Marketing Data Analyst,Lighthouse Nonprofit,"Washington, DC",Insurance,Mid,Remote,67500,104500,86000,Azure; Excel; R; SQL; Statistics,2026-04-28,394
100048,Lead Data Analyst,Crestline Airlines,"Remote, US",Retail,Senior,Onsite,86000,130500,108250,Azure; Excel; Machine Learning; SQL; Tableau,2025-07-28,288
100049,Data Analytics Manager,Lighthouse Nonprofit,"Seattle, WA",Hospitality,Senior,Onsite,106000,168500,137250,AWS; Business Intelligence; Excel; Google Analytics; Looker; Python; VBA,2026-03-02,63
100050,Senior Data Analyst,Meridian Energy,"Raleigh, NC",Retail,Senior,Hybrid,84000,117500,100750,A/B Testing; AWS; Communication; Data Modeling; Excel; Power BI; Python,2026-03-25,199
100051,Entry Level Data Analyst,Vantage Pharma,"Washington, DC",Insurance,Entry,Onsite,55000,71000,63000,Azure; Excel; Google Analytics; Machine Learning; Power BI; SQL; Statistics,2025-08-08,85
100052,Data Analyst,Brightpath Education,"Washington, DC",Nonprofit,Mid,Hybrid,68000,97000,82500,A/B Testing; Excel; Machine Learning; Python; SQL,2026-05-28,81
100053,Data Analytics Manager,Sapphire Cloud Services,"Seattle, WA",Retail,Senior,Remote,110000,162000,136000,AWS; Business Intelligence; Data Modeling; Data Visualization; Excel; Power BI; VBA,2026-03-10,229
100054,Senior Data Analyst,Crestline Airlines,"San Francisco, CA",Pharmaceuticals,Senior,Hybrid,116500,173000,144750,A/B Testing; SQL; VBA,2026-06-10,142
100055,Data Analyst Intern,BluePeak Retail,"Boston, MA",Education,Entry,Hybrid,53500,74000,63750,Data Visualization; Excel; Looker; Python; SQL; Statistics; VBA,2025-09-21,173
100056,Financial Data Analyst,Lighthouse Nonprofit,"Raleigh, NC",Insurance,Mid,Hybrid,58500,89000,73750,Excel; Python; SQL,2026-01-23,268
100057,Data Analyst,Copperfield Auto,"Miami, FL",Education,Mid,Hybrid,59500,87500,73500,Data Modeling; Excel; Machine Learning; SQL; Statistics; Tableau,2026-06-23,253
100058,Senior Data Analyst,Northwind Analytics,"Portland, OR",Telecommunications,Senior,Remote,86000,136500,111250,A/B Testing; Business Intelligence; Communication; Excel; Google Analytics; Power BI; Python,2026-03-13,371
100059,Data Analytics Manager,Aurora Biotech,"Dallas, TX",Media & Entertainment,Senior,Onsite,92000,125500,108750,Communication; Data Modeling; ETL; Excel; SQL; Snowflake; Statistics,2026-01-29,179
100060,Lead Data Analyst,Pinnacle Consulting,"New York, NY",Insurance,Senior,Onsite,111000,161500,136250,Azure; Business Intelligence; Data Visualization; Excel; Looker; SQL,2026-02-19,169
