job_id,skill
100001,Communication
100001,Excel
100001,Power BI
100001,Python
100001,SQL
100001,Snowflake
100001,VBA
100002,Communication
100002,Excel
100002,Machine Learning
100002,R
100002,SQL
100002,VBA
100003,Azure
100003,Business Intelligence
100003,Excel
100004,A/B Testing
100004,ETL
100004,Machine Learning
100004,Power BI
100004,SQL
100005,A/B Testing
100005,Business Intelligence
100005,R
100005,SQL
100006,Excel
100006,Machine Learning
100006,Python
100006,SQL
100006,Statistics
100007,A/B Testing
100007,Data Visualization
100007,ETL
100007,Machine Learning
100007,SQL
100007,Tableau
100008,Azure
100008,Data Modeling
100008,ETL
100008,Excel
100008,Machine Learning
100008,Power BI
100008,SQL
100009,AWS
100009,Excel
100009,Power BI
100009,SQL
100010,Data Modeling
100010,Excel
100010,Python
100010,SQL
100010,Snowflake
100011,AWS
100011,Azure
100011,Communication
100011,Excel
100011,SQL
100011,Snowflake
100011,Statistics
100012,A/B Testing
100012,Excel
100012,Python
100012,SQL
100013,A/B Testing
100013,Communication
100013,Data Modeling
100013,Excel
100013,Looker
100013,Power BI
100013,SQL
100014,ETL
100014,Excel
100014,Google Analytics
100015,Azure
100015,Power BI
100015,SQL
100016,Data Modeling
100016,ETL
100016,Machine Learning
100016,SQL
100017,Azure
100017,Excel
100017,SQL
100018,Excel
100018,Python
100018,SQL
100019,A/B Testing
100019,Data Modeling
100019,Excel
100019,Machine Learning
100019,SQL
100019,Statistics
100019,Tableau
100020,Data Visualization
100020,Machine Learning
100020,Snowflake
100020,Tableau
100021,AWS
100021,Azure
100021,Excel
100021,Looker
100021,Power BI
100021,SQL
100021,Tableau
100022,Excel
100022,Looker
100022,Machine Learning
100022,Python
100022,SQL
100023,Azure
100023,Excel
100023,Power BI
100023,Python
100023,SQL
100023,Tableau
100024,Excel
100024,SQL
100024,Statistics
100025,Communication
100025,Google Analytics
100025,R
100025,SQL
100026,A/B Testing
100026,AWS
100026,Business Intelligence
100026,Data Visualization
100026,Excel
100026,Statistics
100027,Azure
100027,Business Intelligence
100027,ETL
100027,Excel
100027,Google Analytics
100027,Power BI
100027,SQL
100028,Azure
100028,Data Visualization
100028,ETL
100028,Excel
100028,Machine Learning
100028,SQL
100028,Statistics
100029,Excel
100029,SQL
100029,Snowflake
100030,AWS
100030,Excel
100030,SQL
100030,VBA
100031,Looker
100031,Python
100031,R
100031,SQL
100032,Looker
100032,Python
100032,SQL
100033,A/B Testing
100033,Communication
100033,R
100034,Business Intelligence
100034,Communication
100034,Excel
100034,Google Analytics
100034,Looker
100034,SQL
100034,Snowflake
100035,Business Intelligence
100035,Excel
100035,Python
100035,SQL
100036,Azure
100036,Business Intelligence
100036,Communication
100036,Excel
100036,Google Analytics
100036,Power BI
100037,A/B Testing
100037,Communication
100037,ETL
100037,Excel
100037,SQL
100038,Azure
